t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,dyaw,power,mode_xy,mode_z
0.760000,0.604762462,0.554375535,1.880069521,1.642155647,1.473836818,-0.284860075,1.057927624,0.756425665,0.066157783,-7.162350180,-7.128954834,2.145578570,0.000000000,0.000000000,true,0,0
0.770000,0.621235721,0.569150536,1.877224585,1.652376888,1.481044784,-0.284091344,0.986332485,0.685186888,0.087574697,-7.155178894,-7.117346332,2.137401896,0.000000000,0.000000000,true,0,0
0.780000,0.637807615,0.583994058,1.874388406,1.661882685,1.487541088,-0.283108893,0.914854018,0.614107823,0.108897776,-7.139015891,-7.097012491,2.126811732,0.000000000,0.000000000,true,0,0
0.790000,0.654470995,0.598898992,1.871563116,1.670674657,1.493327763,-0.281913782,0.843582140,0.543275723,0.130102886,-7.113861170,-7.067953310,2.113808079,0.000000000,0.000000000,true,0,0
0.800000,0.671218737,0.613858257,1.868750835,1.678755317,1.498407716,-0.280507309,0.772606767,0.472777841,0.151165893,-7.079714732,-7.030168790,2.098390935,0.000000000,0.000000000,true,0,0
0.810000,0.688043742,0.628864804,1.865953669,1.686128080,1.502784725,-0.278891018,0.702017818,0.402701432,0.172062660,-7.036576577,-6.983658931,2.080560302,0.000000000,0.000000000,true,0,0
0.820000,0.704938953,0.643911624,1.863173708,1.692797261,1.506463441,-0.277066691,0.631905208,0.333133747,0.192769054,-6.984446705,-6.928423732,2.060316179,0.000000000,0.000000000,true,0,0
0.830000,0.721897359,0.658991763,1.860413022,1.698768072,1.509449387,-0.275036352,0.562358856,0.264162041,0.213260939,-6.923325116,-6.864463193,2.037658566,0.000000000,0.000000000,true,0,0
0.840000,0.738912007,0.674098324,1.857673660,1.704046625,1.511748959,-0.272802268,0.493468678,0.195873568,0.233514180,-6.853211809,-6.791777316,2.012587463,0.000000000,0.000000000,true,0,0
0.850000,0.755976007,0.689224478,1.854957648,1.708639932,1.513369426,-0.270366944,0.425324592,0.128355580,0.253504643,-6.774106785,-6.710366099,1.985102870,0.000000000,0.000000000,true,0,0
0.860000,0.773082547,0.704363476,1.852266983,1.712555904,1.514318930,-0.267733131,0.358016515,0.061695330,0.273208192,-6.686010044,-6.620229542,1.955204788,0.000000000,0.000000000,true,0,0
0.870000,0.790224897,0.719508650,1.849603637,1.715803349,1.514606483,-0.264903817,0.291634364,-0.004019927,0.292600694,-6.588921585,-6.521367646,1.922893216,0.000000000,0.000000000,true,0,0
0.880000,0.807396418,0.734653432,1.846969548,1.718391977,1.514241972,-0.261882234,0.226268056,-0.068702938,0.311658012,-6.482841410,-6.413780411,1.888168154,0.000000000,0.000000000,true,0,0
0.890000,0.824590576,0.749791352,1.844366621,1.720332396,1.513236156,-0.258671855,0.162007508,-0.132266451,0.330356012,-6.367769517,-6.297467836,1.851029603,0.000000000,0.000000000,true,0,0
0.900000,0.841800944,0.764916056,1.841796728,1.721636113,1.511600665,-0.255276392,0.098942638,-0.194623210,0.348670559,-6.243705907,-6.172429922,1.811477561,0.000000000,0.000000000,true,0,0
0.910000,0.859021217,0.780021308,1.839261697,1.722315534,1.509348005,-0.251699802,0.037163362,-0.255685965,0.366577518,-6.110650579,-6.038666669,1.769512030,0.000000000,0.000000000,true,0,0
0.920000,0.876245218,0.795101003,1.836763321,1.722383965,1.506491550,-0.247946281,-0.023240402,-0.315367459,0.384052754,-5.968603535,-5.896178076,1.725133009,0.000000000,0.000000000,true,0,0
0.930000,0.893466907,0.810149174,1.834303347,1.721855611,1.503045551,-0.244020267,-0.082178736,-0.373580442,0.401072133,-5.817564773,-5.744964144,1.678340498,0.000000000,0.000000000,true,0,0
0.940000,0.910680391,0.825159999,1.831883475,1.720745575,1.499025127,-0.239926438,-0.139561725,-0.430237658,0.417611519,-5.657534294,-5.585024872,1.629134497,0.000000000,0.000000000,true,0,0
0.950000,0.927879932,0.840127815,1.829505361,1.719069860,1.494446274,-0.235669717,-0.195299450,-0.485251855,0.433646778,-5.488512097,-5.416360261,1.577515007,0.000000000,0.000000000,true,0,0
0.960000,0.945059959,0.855047120,1.827170607,1.716845370,1.489325858,-0.231255264,-0.249301994,-0.538535779,0.449153775,-5.310498184,-5.238970311,1.523482027,0.000000000,0.000000000,true,0,0
0.970000,0.962215070,0.869912586,1.824880764,1.714089904,1.483681617,-0.226688483,-0.301479441,-0.590002176,0.464108374,-5.123492553,-5.052855021,1.467035557,0.000000000,0.000000000,true,0,0
0.980000,0.979340049,0.884719068,1.822637326,1.710822164,1.477532164,-0.221975018,-0.351741873,-0.639563794,0.478486441,-4.927495205,-4.858014392,1.408175597,0.000000000,0.000000000,true,0,0
0.990000,0.996429871,0.899461610,1.820441733,1.707061750,1.470896981,-0.217120756,-0.399999373,-0.687133380,0.492263841,-4.722506140,-4.654448423,1.346902148,0.000000000,0.000000000,true,0,0
1.000000,1.013479710,0.914135456,1.818295360,1.702829160,1.463796427,-0.212131824,-0.446162023,-0.732623678,0.505416439,-4.508525358,-4.442157115,1.283215208,0.000000000,0.000000000,true,0,0
1.010000,1.030484951,0.928736058,1.816199524,1.698145739,1.456251678,-0.207014577,-0.490160908,-0.775967887,0.517925569,-4.291853066,-4.227275358,1.218755569,0.000000000,0.000000000,true,0,0
1.020000,1.047441194,0.943259080,1.814155475,1.693033104,1.448284173,-0.201775447,-0.532011114,-0.817181000,0.529794444,-4.078789475,-4.015938041,1.155164018,0.000000000,0.000000000,true,0,0
1.030000,1.064344254,0.957700402,1.812164400,1.687512559,1.439915044,-0.196420793,-0.571748727,-0.856298463,0.541031743,-3.869334583,-3.808145165,1.092440557,0.000000000,0.000000000,true,0,0
